"Story","Title","Result","Date","Stability","Duration (s)"
"bonus policy","Usual passenger bonus policy","SUCCESS","2020-04-20T18:15:57.0534002+02:00[Europe/Paris]","0.0","0.17"
"bonus policy","VIP passenger bonus policy","SUCCESS","2020-04-20T18:15:57.2226374+02:00[Europe/Paris]","0.0","0.03"
"Companies available policy","A usual customer wants to buy a ticket for a flight to a destination","SUCCESS","2020-04-20T18:15:57.2695008+02:00[Europe/Paris]","0.0","0.0"
"Economy Flight Passengers Policy","Economy flight, usual passenger","SUCCESS","2020-04-20T18:15:57.2695008+02:00[Europe/Paris]","0.0","0.02"
"Economy Flight Passengers Policy","Economy flight, VIP passenger","SUCCESS","2020-04-20T18:15:57.2916341+02:00[Europe/Paris]","0.0","0.0"
"Passengers Policy","Economy flight, usual passenger","SUCCESS","2020-04-20T18:15:57.2916341+02:00[Europe/Paris]","0.0","0.02"
"Passengers Policy","Economy flight, VIP passenger","SUCCESS","2020-04-20T18:15:57.3072658+02:00[Europe/Paris]","0.0","0.0"
"Passengers Policy","Business flight, usual passenger","SUCCESS","2020-04-20T18:15:57.3072658+02:00[Europe/Paris]","0.0","0.02"
"Passengers Policy","Premium flight, VIP passenger","SUCCESS","2020-04-20T18:15:57.3228879+02:00[Europe/Paris]","0.0","0.02"
"Passengers Policy","Business flight, VIP passenger","SUCCESS","2020-04-20T18:15:57.3228879+02:00[Europe/Paris]","0.0","0.0"
"Passengers Policy","Premium flight, usual passenger","SUCCESS","2020-04-20T18:15:57.3385087+02:00[Europe/Paris]","0.0","0.0"
"Points from merchandise on board Policy","Business flight, VIP passenger","SUCCESS","2020-04-20T18:15:57.3385087+02:00[Europe/Paris]","0.0","19.89"
